Survey ID,"
Do you agree to participate?","
Are you responsible for water collection or treatment in this household?","
Survey Type","
Waterpoint ID","
AEP System ID","
Waterpoint Site Name","
Interviewer's Name","
Interview date","
Interview Start Time",Latitude,Longitude,"
Prefecture","
Sub-Prefecture","
Commune","
Town or Village Name","
Neighborhood (or village name if no neighborhoods)","
Interviewee's Gender","
What is the highest level of education obtained by the head of the household?","
Other type of education","
What is your household's main source of income?","
Other household income","
How many people live in your household in total, including yourself.","
What is your main source of drinking water in the WET/RAINY season?","
Other water source type during WET/RAINY season.","
Waterpoint ID (WET/RAINY season)","
Waterpoint Name (WET/RAINY season)","
What is your main source of drinking water in the DRY season?","
Other water source type during DRY season.","
Waterpoint ID (DRY season)","
(Waterpoint Name (DRY season)","
Where is that water collected from?","
How long does it take to go there, get water, and come back? (in minutes, don't collect, don't know)","
Number of minutes to collect water.","
In the last month, has there been any time when your household did not have sufficient quantities of drinking water when needed?","
Who usually goes to this source to fetch water for your household?","
How many trips did that person make in the last week?","
Is water always available from your main water source?","
What was the (main) reason you were unable to access sufficient quantities of water when needed? Select one.","If there is another reason why you were unable to collect enough water, please note it here.
Other reason for not collecting sufficient amounts of water.","How many hours a day is water accessible from the water point?
How many hours per day is water supplied on average?","
In the past month, for how many days was water from this source unavailable when needed? (Number of Days)","
Is this for personal, commercial or institutional use?","
Other reason for collecting water.","
Do you or your family ever suffer from stomach related illnesses/water-bourne diseases and how often does this occur?","
Do you still treat/process your water in any way to make it safe for drinking, food washing, and basic personal hygiene?","
What method do you use to make the water safe?","
Other method of filtering water.","
What is the reason for not making your water safe for drinking, food washing, and basic personal hygiene?","
If you had the means to purify water and choose to do this, which method would you most likely use?","
DRY SEASON - Technology: Traditional wood stove or stone fire","
DRY SEASON - Technology: Improved Wood Stove","
DRY SEASON - Technology: Charcoal Stove","
DRY SEASON - Technology: Gas Stove","
DRY SEASON - Technology: Kerosene Stove","
DRY SEASON - Technology: Electric Stove","
DRY SEASON - Technology: Other Cooking Technology","
For cooking, do you use different cooking technologies for the wet season than you do for the dry season?","
WET SEASON - Technology: Traditional wood stove or stone fire","
WET SEASON - Technology: Improved Wood Stove","
WET SEASON - Technology: Charcoal Stove","
WET SEASON - Technology: Gas Stove","
WET SEASON - Technology: Kerosene Stove","
WET SEASON - Technology: Electric Stove","
WET SEASON - Technology: Other Cooking Technology","
What is the main stove that you use for cooking if you use more than one stove?","
DRY SEASON - Fuel: Wood","
DRY SEASON - Fuel: Gas","
DRY SEASON - Fuel: Charcoal","
DRY SEASON - Fuel: Kerosene","
DRY SEASON - Fuel: Electricity","
DRY SEASON - Fuel: Crop Residues","
DRY SEASON - Fuel: Biogas","
DRY SEASON - Fuel: Animal Dung","
DRY SEASON - Fuel: Other fuel frequency","
DRY SEASON - Fuel: Other fuel type","
For cooking or boiling water, do you use different fuel types in the wet season than you do in the dry season?","
WET SEASON - Fuel: Wood","
WET SEASON - Fuel: Gas","
WET SEASON - Fuel: Charcoal","
WET SEASON - Fuel: Kerosene","
WET SEASON - Fuel: Electricity","
WET SEASON - Fuel: Crop Residues","
WET SEASON - Fuel: Biogas","
WET SEASON - Fuel: Animal Dung","
WET SEASON - Fuel: Other fuel frequency","
WET SEASON - Fuel: Other fuel type","
If you are using more than one fuel, which fuel do you mainly use for cooking?","
Where do you collect your fuel?","
How long does it take to go to the fuel source, get fuel, and come back?","
Number of minutes to collect fuel.","
How many trips were made to collect fuel in the last week?","
How many water storage containers: 5 liters","
How many water storage containers: 10 liters","
How many water storage containers: 15 liters","
How many water storage containers: 20 liters","
How many water storage containers: 25 liters","
How many water storage containers: other size","
What is the size of the other water container, in liters?","
Does your household have a storage container? Such as a barrel.","
If yes, how many liters does that storage container hold?","
Can you please show me where members of your household most often wash their hands?","
Observe availability of water at the place for handwashing.","
Observe availability of soap or detergent at the place for handwashing.","
Additional commentary.","
Interview completion time."
82,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-14,12:48:00,4.253563,15.793191,Mambere-Kadei,Berberati,Berberati,Berberati,TP,Man,Secondary,,Formal Employment,,5,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),280,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,2,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),Add chlorine or product,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),260,4,4,0,0,2,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,13:06:00
79,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-14,11:59:00,4.253181,15.792713,Mambere-Kadei,Berberati,Berberati,Berberati,TP,Women,Secondary,,Agriculture,,14,Drilling with TDC,,A1603,Berberati MC Nemezia Sacred Hearts Sisters,Drilling with TDC,,A1603,Berberati MC Nemezia Sacred Hearts Sisters,Other place,Number of minutes (specify),280,"Yes, at least once",Adult woman (over 15),3,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,5,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),300,6,0,1,0,3,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,12:35:00
76,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-14,11:22:00,4.252333,15.792815,Mambere-Kadei,Berberati,Berberati,Berberati,TP,Women,Primary,,Agriculture,,11,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),360,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,7,Staff,,"Once, every few months",No,,,The water is already drinkable (improved source),To boil,4,0,1,0,0,0,0,No,,,,,,,,Traditional wood fire,4,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,5,5,0,0,5,1,1,30,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,11:52:00
73,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-14,10:28:00,4.251540,15.793714,Mambere-Kadei,Berberati,Berberati,Berberati,Wambilo,Women,Post-Secondary/University,,Formal Employment,,13,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,In its own yard or plot,Number of minutes (specify),2,"Yes, at least once",Adult woman (over 15),2,"Yes, water is always available",Water is not available at the source (no water),,6-11 hours a day,2,Staff,,"Once, every few months",No,Filter it through a cloth,,,Do not know,1,4,1,0,0,0,0,No,,,,,,,,"Stove, or cooker, with improved wood",4,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),260,1,3,0,1,4,2,4,120,Yes,200,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,11:09:00
97,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,11:49:00,4.248632,15.795233,Mambere-Kadei,Berberati,Berberati,Berberati,City-Breeding,Women,Primary,,Agriculture,,12,Drilling with TDC,,F2024,Berberati Sambanda School Hydro India,Drilling with TDC,,F2024,Berberati Sambanda School Hydro India,Other place,Number of minutes (specify),160,"Yes, at least once",Girl (under 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,3,Staff,,"Once, every few months",No,,,There's no advantage for me,Add chlorine or product,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),360,7,0,0,0,5,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,12:10:00
94,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,11:22:00,4.249539,15.795220,Mambere-Kadei,Berberati,Berberati,Berberati,City-Breeding,Women,None,,Agriculture,,7,Unimproved or unprotected source,,,,Unimproved or unprotected source,,,,Other place,Number of minutes (specify),120,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Several times a month,No,,,I do not know how to do,Add chlorine or product,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),180,2,1,0,0,2,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,11:42:00
91,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,10:50:00,4.249737,15.794630,Mambere-Kadei,Berberati,Berberati,Berberati,City-Breeding,Women,Post-Secondary/University,,Agriculture,,16,Drilling with TDC,,F2024,Berberati Sambanda School Hydro India,Improved or protected source,,,,Other place,Number of minutes (specify),260,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,2,Staff,,"Once, every few months",No,,,I do not know how to do,Add chlorine or product,3,1,1,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,4,2,0,11,1,1,40,Yes,200,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,11:16:00
55,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,14:47:00,4.250811,15.790613,Mambere-Kadei,Berberati,Berberati,Berberati,Sambanda 4,Women,Primary,,Casual Work,,8,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),240,"Yes, at least once",Adult woman (over 15),6,"No, but water is available most of the time",Water is too expensive (water price),,12-17 hours a day,1,Staff,,"Once, every few months",No,,,I do not know how to do,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,0,0,1,2,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,15:01:00
52,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,14:20:00,4.250424,15.791343,Mambere-Kadei,Berberati,Berberati,Berberati,Sambanda 4,Women,Secondary,,Casual Work,,6,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),480,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,6,Staff,,Several times a month,No,,,I do not know how to do,Do not know,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,4,0,0,8,6,1,40,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,14:36:00
49,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,13:51:00,4.250351,15.791898,Mambere-Kadei,Berberati,Berberati,Berberati,Sambanda 4,Women,Secondary,,Agriculture,,9,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),280,"Yes, at least once",Adult woman (over 15),5,"No, water is only available occasionally",Water is too expensive (water price),,6-11 hours a day,4,Staff,,"Once, every few months",No,,,I do not know how to do,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),480,2,0,0,0,5,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,14:14:00
