"Survey ID
","Do you agree to take part in this survey today?
",Are you responsible for collecting or treating water in this household?,Survey Type,"Water Point ID
 ","AEP System ID
","Site Name
","Investigator's name
","Date of interview
","Interview start time
",Latitude,Longitude,"Prefecture
","Sub-prefecture
","Commune
","City or Village Name
","Neighborhood (if there are no neighborhoods, just rewrite the village name)
","Gender of respondent
","What is the highest level of education attained by the head of the household?
","If another type or level of study has been selected, please specify it here.
","What is your household's main source of income?
","If another type of income was selected, please specify it here.
","How many people live in your household in total? Ie the number of people living under this roof, including yourself.
","What is your main source of drinking water in the RAINY season?
","Site ID (rainy season)
","Site name (rainy season)
","What is your main source of drinking water in the DRY season?
","Site ID (dry season)
","Site name (dry season)
","Currently, at the time of this survey, where does your main source of water come from? Your house, your plot, or elsewhere?
","How long does it take to go to the water point, fetch water and return to your current main water source?
","Record the number of minutes it takes to walk from the house to the water point, collect the water (including waiting in line) and return home.
","In the last month (last 30 days), has there been a time when your household did not have enough drinking water at your current main water source?
","Who usually goes to this source to fetch water for your household? Select the person primarily responsible for water collection.
","How many trips have members of this household made to fetch and collect water in the past week (last 7 days).
","Is water always available from your main water source?
","When you are not collecting as much water as you want or need, what is the main reason? Select one only.
","If there is another reason why you were unable to collect enough water, please note it here.
","How many hours a day is water accessible from the water point?
","In the past month (last 30 days), for how many days was water from your main water source not available all day when you needed it? Note the number in terms of days not available.
","Is your water collection primarily for personal, commercial or institutional use?
","How often do you or your family members suffer from stomach-related or water-borne illnesses?
","Do you treat your water to make it safe for drinking, food washing and personal hygiene in any way? If the respondent says “yes” that they treat the water, please ask how often. If she treats the water less than once a week, indicate that the answer is ""no"".","What method do you use to make your water clean for drinking, food washing and personal hygiene? If she mentions straining through a cloth, letting the water settle, or she doesn't know, go back to the previous question and note that she doesn't treat their water because those methods are unreliable. )
","Why are you not treating your water for drinking, food washing, or personal hygiene? If they say the water is already safe to drink, make sure their response to the main water source is an improved water point. If it's not an enhanced source, look at the other answers to this question.
","If you had the means to purify water and chose to do so, what method would you probably use?
","Dry Season: Traditional wood fire
","Dry Season: Stove, or cooker, with improved wood
","Dry Season: Stove, or cooker, charcoal
","Dry Season: Stove, or cooker, gas or propane
","Dry Season: Stove, or cooker, with kerosene/kerosene
","Dry Season: Stove, or stove, electric
","Dry Season: Another way of cooking (if another method is used, please specify which one in the next question).
","For cooking or boiling water, do you use different stove TECHNOLOGIES in the rainy season and in the dry season?
","Rainy Season: Traditional wood fire
","Rainy Season: Stove, or cooker, with improved wood
","Rainy Season: Stove, or cooker, charcoal
","Rainy Season: Stove, or cooker, gas or propane
","Rainy Season: Stove, or cooker, with kerosene/kerosene
","Rainy Season: Stove, or cooker, electric
","Rainy Season: Another way of cooking (if another method is used, please specify which one in the next question).
","Rainy Season: Details on the other way of cooking
","What is the main stove or medium you use for boiling water or cooking?
","Dry Season: Coal
","Dry Season: Kerosene/Petroleum
","Dry Season: Electricity
","Dry Season: Crop or field residues
","Dry Season: Biogas
","Dry Season: Manure/Animal dung
","Dry Season: Other type of fuel or motor fuel (specify)
","For cooking or boiling water, do you use different FUELS/FUEL in the rainy season and in the dry season?
","Rainy Season: Gas/Propane
","Rainy Season: Coal
","Rainy Season: Kerosene/Petroleum
","Rainy Season: Electricity
","Rainy Season: Crop or field residues
",Rainy Season: Biogas,"Rainy Season: Manure/Animal Dung
","Rainy Season: Other type of fuel or motor fuel (specify)
","If you use more than one type of fuel for cooking, which FUEL/FUEL source do you mainly use for boiling water?
","If another fuel source has been indicated, please specify here.
","Where do you collect your fuel or combustible?
","If another fuel collection location has been indicated, please specify it here.
","When collecting fuel/fuel, how long does it take to get there, pick it up, and come back? Note the number of minutes in the next question that appears.
","How long does it take to get there, pick up, and return (in terms of minutes)?
","How many sorties were flown to collect fuel/fuel in the last week? (last 7 days)
","Has the new water supply project in your community (the KBF) saved you time?
","In which of these activities has the drilling project saved you the most time?
","How much time do you think the drilling project saved you on average per day (in terms of minutes)?
","What do you do with the time saved from the water project?
","How many 5 liter containers are present in the house?
","How many 10 liter containers are present in the house?
","How many 15 liter containers are present in the house?
","How many 20 liter containers are present in the house?
","How many 25 liter containers are present in the house?
","How many containers of other quantity of liters are present in the house?
","What is the size, in litres, of this other container?
","How many 5 liter containers of water will you use today from KBF?
","How many 10 liter containers of water will you use today from KBF?
","How many 15 liter containers of water will you use today from KBF?
","How many 20 liter containers of water will you use today from KBF?
","How many 25 liter containers of water will you use today from KBF?
","How many containers of other liters of water will you use today from KBF?
","What is the size, in litres, of this quantity that you will use?
","What will you use this water for today? Please select all that apply.
","Does your household have a water storage container, such as a barrel?
","If yes, how many liters does your storage container(s) or barrel contain?
","Can you show me where members of your household wash their hands most often?
","Observe the availability of water at the place where you wash your hands. Check by checking for water at the tap/pump, or in a basin, bucket, water container or similar.
","Observe the availability of soap or detergent at the place where you wash your hands.
","Additional comment, if necessary. Thank the interviewee for their time.
","Survey end time
"
145,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,15:25:00,4.246642,15.770864,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Man,None,,Agriculture,,6,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),8,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is too expensive (water price),,6-11 hours a day,4,Staff,Never,No,,It's taking too long,To boil,3,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),180,7,Yes,Less walking distance to water source,60,"Domestic work (unpaid, including cooking and caring for family members)",0,1,0,1,0,0,,0,3,0,3,0,0,,"Drinking, Personal Hygiene, Food Preparation, Washing Clothes",No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,15:43:00
142,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,15:00:00,4.246878,15.770985,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Man,Primary,,Agriculture,,15,Drilling with TDC,B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),10,"Yes, at least once",Adult male (over 15),7,"Yes, water is always available",Water is too expensive (water price),,6-11 hours a day,4,Staff,Never,No,,I do not know how to do,To boil,4,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),120,3,Yes,Less waiting time at the water source,60,"Domestic work (unpaid, including cooking and caring for family members)",0,0,0,1,0,0,,0,0,0,4,0,0,,"Drinking, Food preparation",No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,15:21:00
139,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,14:28:00,4.247582,15.770953,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Women,Secondary,,Agriculture,,4,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),7,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,6-11 hours a day,4,Staff,Never,No,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),240,3,Yes,Less walking distance to water source,60,"Domestic work (unpaid, including cooking and caring for family members)",0,0,0,3,0,0,,0,0,0,2,0,0,,"Drinking, Personal Hygiene, Food Preparation, Washing Clothes",No,,No hand washing place in the house or plot,,,,14:54:00
136,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,13:44:00,4.247957,15.770849,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Women,Secondary,,Agriculture,,15,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),5,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,12-17 hours a day,4,Staff,Never,No,,The water is already drinkable (improved source),To boil,3,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),240,5,Yes,Less walking distance to water source,60,Income generating activities,0,0,0,1,1,0,,0,0,0,2,3,0,,"Drinking, Personal Hygiene, Food Preparation",No,,No hand washing place in the house or plot,,,,14:21:00
133,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,11:37:00,4.247986,15.772578,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Women,Secondary,,Agriculture,,13,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),5,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is too expensive (water price),,6-11 hours a day,4,Staff,Never,No,,I do not know how to do,To boil,3,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),160,3,Yes,Less walking distance to water source,120,"Domestic work (unpaid, including cooking and caring for family members)",1,0,1,4,0,0,,1,0,1,4,0,0,,"Drinking, Personal Hygiene, Food Preparation, Washing Clothes",No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,11:47:00
130,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,10:42:00,4.248291,15.772423,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Man,Secondary,,Agriculture,,15,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),15,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,Less than 6 hours per day,4,Staff,Never,No,,It's taking too long,To boil,3,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),240,4,Yes,Less walking distance to water source,120,"Domestic work (unpaid, including cooking and caring for family members)",1,0,0,0,2,0,,1,0,0,0,2,0,,"Drinking, Food Preparation, Washing Clothes",No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,11:05:00
127,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,10:09:00,4.248100,15.771882,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Women,Secondary,,Agriculture,,17,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),10,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",Water is too expensive (water price),,6-11 hours a day,4,Staff,Never,No,,I do not know how to do,To boil,4,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),240,7,Yes,Less waiting time at the water source,60,"Domestic work (unpaid, including cooking and caring for family members)",2,0,0,4,0,0,,2,0,0,4,0,0,,"Drinking, Personal Hygiene, Food Preparation, Washing Clothes",No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,10:34:00
124,Yes,Yes,Existing AEP System,B410,AEP16,Difolo 2A,DANGOLHO Job,2022-11-15,09:24:00,4.248115,15.771353,Mambere-Kadei,Berberati,Berberati,Berberati,Difolo 2,Women,Secondary,,Agriculture,,12,Public tap or standpipe (KBF),B410,Difolo 2A,Public tap or standpipe (KBF),B410,Difolo 2A,Other place,Number of minutes (specify),15,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,4,Staff,Once a month,No,,The water is already drinkable (improved source),To boil,3,0,1,0,0,0,0,Yes,3,0,2,0,0,0,0,,Traditional wood fire,2,0,0,0,0,0,0,No,,,,,,,,,Drink,,Forest,,Number of minutes (specify),240,5,Yes,Less walking distance to water source,120,"Domestic work (unpaid, including cooking and caring for family members)",1,0,3,5,2,1,30,1,0,3,5,2,1,30,"Drinking, Personal hygiene, Food preparation, Water for animals, Washing clothes",No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,10:02:00
190,Yes,Yes,Existing AEP System,B1011,AEP206,Ndembo A,NGUEBATA Arlette,2022-11-15,13:30:00,4.259751,15.785232,Mambere-Kadei,Berberati,Berberati,Berberati,Jambala 4,Women,Secondary,,Formal Employment,,8,Public tap or standpipe (KBF),B1011,Ndembo A,Public tap or standpipe (KBF),B1011,Ndembo A,Other place,Number of minutes (specify),30,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,1,Staff,"Once, every few months",No,,The water is already drinkable (improved source),Add chlorine or product,4,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Bought,,Housekeeping does not collect (0 minutes),,,Yes,Less waiting time at the water source,120,"Domestic work (unpaid, including cooking and caring for family members)",6,0,0,3,0,0,,3,0,0,3,0,0,,"Drinking, Personal Hygiene, Food Preparation, Washing Clothes, Washing Utensils",No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,14:00:00
184,Yes,Yes,Existing AEP System,B1011,AEP206,Ndembo A,NGUEBATA Arlette,2022-11-15,10:43:00,4.260745,15.784747,Mambere-Kadei,Berberati,Berberati,Berberati,Jambala 4,Women,None,,Casual Work,,6,Public tap or standpipe (KBF),B1011,Ndembo A,Public tap or standpipe (KBF),B1011,Ndembo A,Other place,Number of minutes (specify),25,"Yes, at least once",Adult woman (over 15),6,"No, but water is available most of the time",Water is not available at the source (no water),,12-17 hours a day,1,Staff,"Once, every few months",No,,The water is already drinkable (improved source),Add chlorine or product,4,0,0,0,0,0,0,No,,,,,,,,,Traditional wood fire,0,0,0,0,0,0,0,No,,,,,,,,,Drink,,Bought,,Housekeeping does not collect (0 minutes),,,Yes,Less waiting time at the water source,240,"Domestic work (unpaid, including cooking and caring for family members)",2,0,0,3,0,0,,1,0,0,2,0,0,,"Drinking, Personal Hygiene, Food Preparation, Washing Clothes, Washing Utensils",No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,11:13:00
